Fecha,Unidades,NombreFeriado,EsFestivo,DiaSemana,DiaMes,Mes,Predicciones
2012-12-19,1961,,0,2,19,12,1664.7012788583208
2012-12-20,2101,,0,3,20,12,1639.6475559515986
2012-12-21,2124,,0,4,21,12,1872.5000261950415
2012-12-22,904,,0,5,22,12,756.5055671834625
2012-12-23,0,,0,6,23,12,2.528129108828009
2012-12-24,535,,0,0,24,12,874.7414603174602
2012-12-25,0,Navidad,1,1,25,12,0.6533333333333333
2012-12-26,1206,,0,2,26,12,1401.0919494949494
2012-12-27,1921,,0,3,27,12,2019.2652554112553
2012-12-28,2418,,0,4,28,12,2237.920222222222
2012-12-29,1087,,0,5,29,12,935.045
2012-12-30,0,,0,6,30,12,8.178888888888888
2012-12-31,68,,0,0,31,12,623.8744444444445
2013-01-01,0,Año Nuevo,1,1,1,1,0.26
2013-01-02,223,,0,2,2,1,235.992828042328
2013-01-03,402,,0,3,3,1,349.6525330508271
2013-01-04,884,,0,4,4,1,868.6232593585289
2013-01-05,215,,0,5,5,1,227.27977719552572
2013-01-06,0,,0,6,6,1,0.09882293792167261
2013-01-07,0,Epifanía,1,0,7,1,0.0
2013-01-08,623,,0,1,8,1,725.8701278495325
2013-01-09,1005,,0,2,9,1,892.1020669669514
2013-01-10,957,,0,3,10,1,961.5206382539034
2013-01-11,1069,,0,4,11,1,1094.9230385452659
2013-01-12,311,,0,5,12,1,290.065026071707
2013-01-13,1,,0,6,13,1,0.9679128775561044
2013-01-14,766,,0,0,14,1,793.9687179310571
2013-01-15,1063,,0,1,15,1,918.992296866552
2013-01-16,1007,,0,2,16,1,997.1813472697988
2013-01-17,1083,,0,3,17,1,1002.4491672606778
2013-01-18,951,,0,4,18,1,1070.1843968020794
2013-01-19,248,,0,5,19,1,277.6287018133115
2013-01-20,0,,0,6,20,1,0.715123839681927
2013-01-21,756,,0,0,21,1,735.0667862163573
2013-01-22,816,,0,1,22,1,930.3832378657409
2013-01-23,998,,0,2,23,1,955.6516336117012
2013-01-24,852,,0,3,24,1,955.8753317920136
2013-01-25,952,,0,4,25,1,955.0575115084816
2013-01-26,285,,0,5,26,1,261.84407599699375
2013-01-27,0,,0,6,27,1,0.3397417431496379
2013-01-28,809,,0,0,28,1,847.0932768897769
2013-01-29,983,,0,1,29,1,1092.809388600289
2013-01-30,1178,,0,2,30,1,1216.518459077959
2013-01-31,1104,,0,3,31,1,1220.209805916306
2013-02-01,1064,,0,4,1,2,970.9152828668948
2013-02-02,224,,0,5,2,2,210.57467989417992
2013-02-03,0,,0,6,3,2,0.9269884366346992
2013-02-04,740,,0,0,4,2,737.1359807448121
2013-02-05,885,,0,1,5,2,861.7205175352819
2013-02-06,1218,,0,2,6,2,1082.7659657125967
2013-02-07,1150,,0,3,7,2,1122.3503880054545
2013-02-08,1181,,0,4,8,2,1131.2506141810265
2013-02-09,291,,0,5,9,2,290.7138371347047
2013-02-10,1,,0,6,10,2,0.9229775431756263
2013-02-11,830,,0,0,11,2,779.080162463581
2013-02-12,916,,0,1,12,2,991.9292719949738
2013-02-13,1076,,0,2,13,2,1121.5308190417252
2013-02-14,1110,,0,3,14,2,1136.0398036234567
2013-02-15,1265,,0,4,15,2,1130.4163424142448
2013-02-16,263,,0,5,16,2,290.0092597556978
2013-02-17,0,,0,6,17,2,0.7576333504041075
2013-02-18,719,,0,0,18,2,739.9166751039079
2013-02-19,1036,,0,1,19,2,953.1385601620466
2013-02-20,1096,,0,2,20,2,1087.421932507597
2013-02-21,1064,,0,3,21,2,1115.2644244371909
2013-02-22,1094,,0,4,22,2,1122.9309435366736
2013-02-23,324,,0,5,23,2,318.91172312482837
2013-02-24,0,,0,6,24,2,3.5331953820727913
2013-02-25,755,,0,0,25,2,758.0769316928776
2013-02-26,1119,,0,1,26,2,1005.3445883590961
2013-02-27,1133,,0,2,27,2,1308.6263673374322
2013-02-28,1311,,0,3,28,2,1421.0899385158818
2013-03-01,963,,0,4,1,3,960.7366000266379
2013-03-02,264,,0,5,2,3,213.86073544973544
2013-03-03,0,,0,6,3,3,0.776252265398528
2013-03-04,677,,0,0,4,3,740.1167524672104
2013-03-05,930,,0,1,5,3,872.4698870858942
2013-03-06,1073,,0,2,6,3,1087.0904741469856
2013-03-07,1136,,0,3,7,3,1127.595956026425
2013-03-08,1207,,0,4,8,3,1139.3814772448738
2013-03-09,354,,0,5,9,3,288.5916411186185
2013-03-10,1,,0,6,10,3,0.8685023173064377
2013-03-11,851,,0,0,11,3,780.5449959754098
2013-03-12,1065,,0,1,12,3,1009.2177425870293
2013-03-13,1167,,0,2,13,3,1129.5788409268155
2013-03-14,1223,,0,3,14,3,1144.960757870446
2013-03-15,1297,,0,4,15,3,1138.0565361025817
2013-03-16,385,,0,5,16,3,290.3566738760024
2013-03-17,0,,0,6,17,3,0.9187074001094603
2013-03-18,830,,0,0,18,3,743.651756359811
2013-03-19,1249,,0,1,19,3,956.458780426046
2013-03-20,1341,,0,2,20,3,1094.8934950723167
2013-03-21,1459,,0,3,21,3,1126.6220691428512
